Power,Minute
0,0
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
0,20
0,21
0,22
0,23
0,24
0,25
0,26
0,27
0,28
0,29
0,30
0,31
0,32
0,33
0,34
0,35
0,36
0,37
0,38
0,39
0,40
0,41
0,42
0,43
0,44
0,45
0,46
0,47
0,48
0,49
0,50
0,51
0,52
0,53
0,54
0,55
0,56
0,57
0,58
0,59
0,60
0,61
0,62
0,63
0,64
0,65
0,66
0,67
0,68
0,69
0,70
0,71
0,72
0,73
0,74
0,75
0,76
0,77
0,78
0,79
0,80
0,81
0,82
0,83
0,84
0,85
0,86
0,87
0,88
0,89
0,90
0,91
0,92
0,93
0,94
0,95
0,96
0,97
0,98
0,99
0,100
0,101
0,102
0,103
0,104
0,105
0,106
0,107
0,108
0,109
0,110
0,111
0,112
0,113
0,114
0,115
0,116
0,117
0,118
0,119
0,120
0,121
0,122
0,123
0,124
0,125
0,126
0,127
0,128
0,129
0,130
0,131
0,132
0,133
0,134
0,135
0,136
0,137
0,138
0,139
0,140
0,141
0,142
0,143
0,144
0,145
0,146
0,147
0,148
0,149
0,150
0,151
0,152
0,153
0,154
0,155
0,156
0,157
0,158
0,159
0,160
0,161
0,162
0,163
0,164
0,165
0,166
0,167
0,168
0,169
0,170
0,171
0,172
0,173
0,174
0,175
0,176
0,177
0,178
0,179
0,180
0,181
0,182
0,183
0,184
0,185
0,186
0,187
0,188
0,189
0,190
0,191
0,192
0,193
0,194
0,195
0,196
0,197
0,198
0,199
0,200
0,201
0,202
0,203
0,204
0,205
0,206
0,207
0,208
1500,209
1500,210
1500,211
1500,212
1500,213
1500,214
1500,215
1500,216
1500,217
1500,218
1500,219
1500,220
1500,221
1500,222
1500,223
1500,224
1500,225
1500,226
1500,227
1500,228
1500,229
1500,230
1500,231
1500,232
1500,233
1500,234
1500,235
1500,236
1500,237
1500,238
1500,239
1500,240
1500,241
1500,242
1500,243
1500,244
1500,245
1500,246
1500,247
1500,248
1500,249
1500,250
1500,251
1500,252
1500,253
1500,254
1500,255
1500,256
1500,257
1500,258
1500,259
1500,260
1500,261
1500,262
1500,263
1500,264
1500,265
1500,266
1500,267
1500,268
1500,269
1500,270
1500,271
1500,272
1500,273
1500,274
1500,275
1500,276
1500,277
1500,278
1500,279
1500,280
1500,281
1500,282
1500,283
1500,284
1500,285
1500,286
1500,287
1500,288
1500,289
1500,290
1500,291
1500,292
1500,293
1500,294
1500,295
1500,296
2300,297
2300,298
2420,299
2420,300
2420,301
2420,302
2420,303
2420,304
2420,305
2420,306
2420,307
2420,308
2420,309
2420,310
2420,311
2420,312
2420,313
2420,314
2420,315
2420,316
2420,317
2420,318
2420,319
2420,320
2420,321
2420,322
2420,323
3620,324
3620,325
3620,326
3620,327
3620,328
3620,329
3620,330
3620,331
3620,332
3620,333
3620,334
3620,335
3620,336
3620,337
3620,338
3620,339
3620,340
3620,341
3620,342
3620,343
3620,344
3620,345
3620,346
3620,347
3620,348
3620,349
3620,350
3620,351
3620,352
3620,353
3620,354
3620,355
3620,356
3620,357
3620,358
3620,359
3620,360
3620,361
3620,362
3620,363
3620,364
2120,365
2120,366
2120,367
2120,368
2120,369
2120,370
2120,371
2120,372
2120,373
2120,374
2120,375
2120,376
2120,377
2120,378
2120,379
2120,380
2120,381
2120,382
2120,383
2120,384
2120,385
2120,386
2120,387
2120,388
2120,389
2120,390
2120,391
2120,392
2120,393
2120,394
2120,395
2120,396
2120,397
2120,398
2120,399
2120,400
2120,401
2120,402
2120,403
2120,404
2120,405
2120,406
2120,407
2120,408
2120,409
2120,410
2120,411
2120,412
2120,413
2120,414
2120,415
2120,416
2120,417
2120,418
2120,419
2120,420
2120,421
2120,422
2120,423
2120,424
2120,425
2120,426
2120,427
2120,428
2120,429
2120,430
2120,431
2120,432
2120,433
2120,434
2120,435
2120,436
2120,437
2120,438
2120,439
2120,440
2120,441
2120,442
2120,443
2120,444
2120,445
2120,446
2120,447
2120,448
2120,449
2120,450
2120,451
2120,452
2120,453
2120,454
2120,455
2120,456
2120,457
2120,458
2120,459
2370,460
2370,461
2370,462
2370,463
2370,464
2370,465
2370,466
2370,467
2370,468
2370,469
2370,470
2370,471
2370,472
2370,473
2370,474
2370,475
2370,476
2370,477
2370,478
2370,479
