,0
0,0.0
1,1.9198381255224515
2,0.4735395103318134
3,1.9052885756722435
4,0.2772419333864806
5,0.8315662808856727
6,0.18648887872763176
7,1.8216815089674359
8,1.3479321220500418
9,10.142329823164804
10,11.044344739687968
11,10.802883233176082
12,11.64680555775743
13,11.995652036495649
14,10.684498793898028
15,1011.0742391066274
16,1011.3122875172285
17,1010.2116541735387
18,1810.85640755129
19,1810.6932114438116
20,1810.7835470076
21,1810.260084680135
22,1811.2111023249406
23,1810.8813143873322
24,1811.6444435924286
25,1810.699617599556
26,1811.9860548311447
27,1811.4240560741907
28,2110.7783393442
29,2111.8939035777557
30,2111.70478294098
31,2111.8737833707587
32,2110.3557113144407
33,2111.8163601089564
34,2111.0753921793676
35,2111.1630813011657
36,2110.8473396808354
37,2110.2072901839647
38,2111.9375718114748
39,2110.686474273611
40,3610.506364742449
41,3611.493396270858
42,3610.2940479852555
43,3611.744080399731
44,3610.9034013237624
45,3610.0370862431714
46,3611.165314513388
47,3610.497898147932
48,3611.379346981252
49,3610.2800304429206
50,3611.6405318205884
51,3610.1781643458266
52,3611.444307582652
53,3611.705369957077
54,3610.5430186790254
55,2810.719234037426
56,2810.3332185064037
57,2810.0413796861426
58,2810.427910459326
59,3910.8986937477544
60,3911.3031269133153
61,3911.4041459828773
62,3911.9702945364593
63,3911.126423037307
64,3910.2829217323992
65,3910.865114623792
66,4110.876072124556
67,4111.626683864579
68,4110.912003159567
69,4111.614595348113
70,4110.099004521054
71,4110.290834399549
72,2610.116919633853
73,2611.7587159844547
74,2610.4557738670974
75,2611.6698762319897
76,2611.508389313276
77,2611.626373072474
78,2611.2927574160676
79,2610.0407078453313
80,2610.272287300672
81,2610.075045708059
82,2610.5714567838927
83,2610.818013997785
84,1611.9629014280645
85,1610.88268280693
86,1610.4193608731207
87,1610.6322040829157
88,1611.6069738089468
89,1611.9505365485893
90,1610.6242366432666
91,1610.0618031135236
92,1601.71613462024
93,1601.300524756612
94,1600.1691450964395
95,1601.3255203485182
96,1600.4042075446084
97,1301.1973632181935
98,1300.7942745658395
99,1301.2398284471576
100,1300.258007305021
101,1300.0832467787036
102,1301.952538351018
103,1301.2758712536859
104,1301.807703860055
105,1601.5823275619623
106,1600.7057067840904
107,1600.4298603424972
108,1600.1927247169263
109,1600.2738501547751
110,1601.5831507186938
111,1601.7914461440846
112,1600.783360743674
113,1601.3608872648967
114,1601.637182679035
115,501.9102457362122
116,500.5777569528554
117,501.6517989403971
118,500.6761664444121
119,501.11953929941694
120,501.32820801060535
121,501.7710857633491
122,500.55789793558836
123,500.80890129911757
124,501.8819814585887
125,501.71579676612623
126,500.48073162762057
127,500.77387297132003
128,301.0582578139167
129,301.47581535863503
130,301.231652905081
131,300.6127508356297
132,300.9161470533358
