Power,Minute
0,0
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
0,20
0,21
0,22
0,23
0,24
0,25
0,26
0,27
0,28
0,29
0,30
0,31
0,32
0,33
0,34
0,35
0,36
0,37
0,38
0,39
0,40
0,41
0,42
0,43
0,44
0,45
0,46
0,47
0,48
0,49
0,50
0,51
0,52
0,53
0,54
0,55
0,56
0,57
0,58
0,59
0,60
0,61
0,62
0,63
0,64
0,65
0,66
0,67
0,68
0,69
0,70
0,71
0,72
0,73
0,74
0,75
0,76
0,77
0,78
0,79
0,80
0,81
0,82
0,83
0,84
0,85
0,86
0,87
0,88
0,89
0,90
0,91
0,92
0,93
0,94
0,95
0,96
0,97
0,98
0,99
0,100
0,101
0,102
0,103
0,104
0,105
0,106
0,107
0,108
0,109
0,110
0,111
0,112
0,113
0,114
0,115
0,116
0,117
0,118
0,119
0,120
0,121
0,122
0,123
0,124
0,125
0,126
0,127
0,128
0,129
0,130
0,131
0,132
0,133
0,134
0,135
0,136
0,137
0,138
0,139
0,140
0,141
0,142
0,143
0,144
0,145
0,146
0,147
0,148
0,149
0,150
0,151
0,152
0,153
0,154
0,155
0,156
0,157
0,158
0,159
0,160
0,161
0,162
0,163
0,164
0,165
0,166
0,167
0,168
0,169
0,170
0,171
0,172
0,173
0,174
0,175
0,176
0,177
0,178
0,179
0,180
0,181
0,182
0,183
0,184
0,185
0,186
0,187
0,188
0,189
0,190
0,191
0,192
0,193
0,194
0,195
0,196
0,197
0,198
0,199
0,200
0,201
0,202
0,203
0,204
0,205
0,206
0,207
0,208
0,209
0,210
0,211
0,212
0,213
0,214
0,215
0,216
0,217
0,218
0,219
0,220
0,221
0,222
0,223
0,224
0,225
0,226
0,227
0,228
0,229
0,230
0,231
0,232
0,233
0,234
0,235
0,236
0,237
0,238
0,239
0,240
0,241
0,242
0,243
0,244
0,245
0,246
0,247
0,248
0,249
0,250
0,251
0,252
0,253
0,254
0,255
0,256
0,257
0,258
0,259
0,260
0,261
0,262
0,263
0,264
0,265
0,266
0,267
0,268
0,269
0,270
0,271
0,272
0,273
0,274
0,275
0,276
0,277
0,278
0,279
0,280
0,281
0,282
0,283
0,284
0,285
0,286
1500,287
1500,288
1500,289
1500,290
1500,291
1500,292
1500,293
1500,294
1500,295
1500,296
1500,297
1500,298
1500,299
1500,300
1500,301
1500,302
1500,303
1500,304
1500,305
1500,306
1500,307
1500,308
1500,309
1500,310
1500,311
1500,312
1500,313
1500,314
1500,315
1500,316
1500,317
1500,318
1500,319
1500,320
1500,321
1500,322
1500,323
1500,324
1500,325
1500,326
1500,327
1500,328
1500,329
1500,330
1500,331
1500,332
1500,333
1500,334
1500,335
1500,336
1500,337
1500,338
1500,339
1500,340
1500,341
1500,342
1500,343
1500,344
1500,345
1500,346
1500,347
1500,348
1500,349
1500,350
1500,351
1500,352
1500,353
1500,354
1500,355
1500,356
1500,357
1500,358
1500,359
1500,360
1500,361
1500,362
2700,363
2700,364
2700,365
2700,366
2700,367
2700,368
2700,369
2700,370
2700,371
2700,372
2700,373
2700,374
2700,375
2700,376
2700,377
2700,378
2700,379
2700,380
2700,381
2700,382
2700,383
2700,384
2700,385
2700,386
2700,387
2700,388
2700,389
2700,390
2700,391
2700,392
2700,393
2700,394
2700,395
2700,396
2700,397
2700,398
2700,399
2700,400
2700,401
2700,402
2700,403
2700,404
2700,405
2700,406
2700,407
2700,408
1200,409
1200,410
1200,411
2000,412
2000,413
2000,414
2000,415
2000,416
2000,417
2000,418
2000,419
2000,420
2000,421
2000,422
2000,423
2000,424
2000,425
2000,426
2000,427
2000,428
2000,429
2000,430
2000,431
2000,432
2000,433
2000,434
2000,435
2000,436
2000,437
2000,438
2120,439
2120,440
2120,441
2120,442
2120,443
2120,444
2120,445
2120,446
2120,447
2120,448
2120,449
2120,450
2120,451
2120,452
2120,453
2120,454
2120,455
2120,456
2120,457
2120,458
2120,459
2120,460
2120,461
2120,462
2120,463
2120,464
2120,465
2120,466
2120,467
2120,468
2120,469
2120,470
2120,471
2120,472
2170,473
2170,474
2170,475
2170,476
2170,477
2170,478
2170,479
2170,480
2170,481
2170,482
2170,483
2170,484
2170,485
2170,486
2170,487
2170,488
2170,489
2170,490
2170,491
2170,492
2170,493
2170,494
2170,495
