Power,Minute
0,0
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
0,20
0,21
0,22
0,23
0,24
0,25
0,26
0,27
0,28
0,29
0,30
0,31
0,32
0,33
0,34
0,35
0,36
0,37
0,38
0,39
0,40
0,41
0,42
0,43
0,44
0,45
0,46
0,47
0,48
0,49
0,50
0,51
0,52
0,53
0,54
0,55
0,56
0,57
0,58
0,59
0,60
0,61
0,62
0,63
0,64
0,65
0,66
0,67
0,68
0,69
0,70
0,71
0,72
0,73
0,74
0,75
0,76
0,77
0,78
0,79
0,80
0,81
0,82
0,83
0,84
0,85
0,86
0,87
0,88
0,89
0,90
0,91
0,92
0,93
0,94
0,95
0,96
0,97
0,98
0,99
0,100
0,101
0,102
0,103
0,104
0,105
0,106
0,107
0,108
0,109
0,110
0,111
0,112
0,113
0,114
0,115
0,116
0,117
0,118
0,119
0,120
0,121
1500,122
1500,123
1500,124
1500,125
1500,126
1500,127
1500,128
1500,129
1500,130
1500,131
1500,132
1500,133
1500,134
1500,135
1500,136
1500,137
1500,138
1500,139
1500,140
1500,141
1500,142
1500,143
1500,144
1500,145
1500,146
1500,147
1500,148
1500,149
1500,150
1500,151
1500,152
1500,153
1500,154
1500,155
1500,156
1500,157
1500,158
1500,159
1500,160
1500,161
1500,162
1500,163
1500,164
1500,165
1500,166
1500,167
1500,168
1500,169
1500,170
1500,171
1500,172
1500,173
1500,174
1500,175
1500,176
1500,177
1500,178
1500,179
1500,180
1500,181
1500,182
1500,183
1500,184
1500,185
1500,186
1500,187
1500,188
1500,189
1500,190
1500,191
1500,192
1500,193
1500,194
1500,195
1500,196
1500,197
1500,198
1500,199
1500,200
1500,201
1500,202
1500,203
1500,204
1500,205
1500,206
1500,207
1500,208
1500,209
1500,210
1500,211
1500,212
1500,213
1500,214
1500,215
1500,216
1500,217
1500,218
1500,219
1500,220
1500,221
1500,222
1500,223
1500,224
1500,225
1500,226
1500,227
1500,228
1500,229
1500,230
1500,231
1500,232
1500,233
1500,234
1500,235
1500,236
1500,237
1500,238
1500,239
1500,240
1500,241
1500,242
1500,243
1500,244
1500,245
1500,246
1500,247
1500,248
1500,249
1500,250
1500,251
1500,252
1500,253
1500,254
1500,255
1500,256
1500,257
1500,258
1500,259
1500,260
1500,261
1500,262
1500,263
1500,264
1500,265
1500,266
1500,267
1500,268
1500,269
1500,270
1500,271
1500,272
1500,273
1500,274
1500,275
1500,276
1500,277
1500,278
1500,279
1500,280
1500,281
1500,282
1500,283
1500,284
1500,285
1500,286
1500,287
1500,288
1500,289
1500,290
1500,291
1500,292
1500,293
1500,294
1500,295
1500,296
1500,297
1500,298
1500,299
1500,300
1500,301
1500,302
1500,303
1500,304
1500,305
1500,306
1500,307
1500,308
1500,309
1500,310
1500,311
1500,312
1500,313
1500,314
1500,315
1500,316
1500,317
1500,318
1500,319
1500,320
1500,321
1500,322
1500,323
1500,324
1500,325
1500,326
1500,327
1500,328
1500,329
1500,330
1500,331
1500,332
1500,333
1500,334
1500,335
1500,336
1500,337
1500,338
1500,339
1500,340
1500,341
1500,342
1500,343
1500,344
1500,345
1500,346
1500,347
1500,348
1500,349
1500,350
1500,351
1500,352
1500,353
1500,354
1500,355
1500,356
1500,357
1500,358
1500,359
1500,360
1500,361
1500,362
1500,363
1500,364
1500,365
1500,366
1500,367
1500,368
1500,369
1500,370
1500,371
1500,372
1500,373
1500,374
1500,375
1500,376
1500,377
1500,378
2700,379
2700,380
2700,381
1200,382
1200,383
1200,384
1200,385
1200,386
1200,387
1200,388
1200,389
1200,390
1200,391
1200,392
1200,393
1200,394
1200,395
1200,396
1200,397
1200,398
1200,399
1200,400
1200,401
1200,402
1200,403
1200,404
1200,405
1200,406
1200,407
1200,408
1200,409
1200,410
1200,411
1200,412
1200,413
1200,414
1200,415
1200,416
1200,417
1200,418
1200,419
1200,420
1200,421
1200,422
1200,423
1200,424
1200,425
1200,426
1200,427
1200,428
1200,429
1200,430
1200,431
1200,432
1200,433
1200,434
1200,435
1320,436
1320,437
1320,438
1320,439
1320,440
1320,441
1320,442
1320,443
1320,444
1320,445
1320,446
1320,447
1320,448
1320,449
1320,450
1320,451
1320,452
1320,453
1320,454
1320,455
1320,456
1320,457
1320,458
1320,459
1320,460
1320,461
1320,462
